Document_ID,Design_Input,Risk_Assessment,Compliance_Score,Critical_Issues,Last_Reviewed,Risk_Weight,Composite_Score,Compliance_Status
DOC_1,Valid,Medium,46.19,0.0,2023-01-01,2,36.19,Non-Compliant
DOC_5,Valid,Medium,59.2,0.0,2023-01-05,2,49.2,Non-Compliant
DOC_7,Valid,High,63.35,0.0,2023-01-07,3,48.35,Non-Compliant
DOC_8,Invalid,Medium,40.65,0.0,2023-01-08,2,30.65,Non-Compliant
DOC_10,Invalid,High,45.48,1.0,2023-01-10,3,20.479999999999997,Non-Compliant
DOC_11,Valid,Medium,59.16,0.0,2023-01-11,2,49.16,Non-Compliant
DOC_15,Valid,Low,70.821,2.0,2023-01-15,1,45.821,Non-Compliant
DOC_17,Valid,Medium,57.59,0.0,2023-01-17,2,47.59,Non-Compliant
DOC_23,Valid,High,45.47,0.0,2023-01-23,3,30.47,Non-Compliant
DOC_25,Valid,High,43.45,1.0,2023-01-25,3,18.450000000000003,Non-Compliant
DOC_30,Valid,Medium,47.02,0.0,2023-01-30,2,37.02,Non-Compliant
DOC_31,Invalid,Low,48.58,1.0,2023-01-31,1,33.58,Non-Compliant
DOC_34,Unknown,Medium,46.07,1.0,2023-02-03,2,26.07,Non-Compliant
DOC_35,Unknown,High,45.05,0.0,2023-02-04,3,30.049999999999997,Non-Compliant
DOC_37,Valid,High,44.37,1.0,2023-02-06,3,19.369999999999997,Non-Compliant
DOC_40,Valid,High,44.88,0.0,2023-02-09,3,29.880000000000003,Non-Compliant
DOC_41,Valid,Unknown,45.09,0.0,2023-02-10,0,45.09,Non-Compliant
DOC_50,Valid,Low,45.01,0.0,2023-02-19,1,40.01,Non-Compliant
DOC_55,Valid,High,46.67,0.0,2023-02-24,3,31.67,Non-Compliant
DOC_57,Valid,Unknown,40.68,0.0,2023-02-26,0,40.68,Non-Compliant
DOC_59,Valid,Medium,43.38,1.0,2023-02-28,2,23.380000000000003,Non-Compliant
DOC_60,Valid,High,47.13,1.0,2023-03-01,3,22.130000000000003,Non-Compliant
DOC_61,Valid,Medium,47.05,0.0,2023-03-02,2,37.05,Non-Compliant
DOC_67,Valid,Medium,57.14,0.0,2023-03-08,2,47.14,Non-Compliant
DOC_69,Valid,Medium,53.42,0.0,2023-03-10,2,43.42,Non-Compliant
DOC_71,Invalid,Low,40.73,0.0,2023-03-12,1,35.73,Non-Compliant
DOC_73,Valid,Low,42.59,0.0,2023-03-14,1,37.59,Non-Compliant
DOC_77,Invalid,Low,44.43,0.0,2023-03-18,1,39.43,Non-Compliant
DOC_80,Valid,Low,71.39,2.0,2023-03-21,1,46.39,Non-Compliant
DOC_87,Invalid,Medium,42.73,1.0,2023-03-28,2,22.729999999999997,Non-Compliant
DOC_88,Invalid,Medium,56.86,0.0,2023-03-29,2,46.86,Non-Compliant
DOC_89,Invalid,High,70.821,1.0,2023-03-30,3,45.821,Non-Compliant
DOC_93,Invalid,Low,56.64,1.0,2023-04-03,1,41.64,Non-Compliant
DOC_94,Valid,Medium,51.29,0.0,2023-04-04,2,41.29,Non-Compliant
DOC_96,Valid,Medium,61.2,1.0,2023-04-06,2,41.2,Non-Compliant
DOC_98,Valid,High,70.821,1.0,2023-04-08,3,45.821,Non-Compliant
DOC_103,Valid,Medium,58.57,0.0,2023-04-13,2,48.57,Non-Compliant
DOC_106,Valid,Unknown,49.76,0.0,2023-04-16,0,49.76,Non-Compliant
DOC_112,Valid,High,65.09,1.0,2023-04-22,3,40.09,Non-Compliant
DOC_115,Invalid,Low,42.71,0.0,2023-04-25,1,37.71,Non-Compliant
DOC_117,Invalid,Medium,62.59,2.0,2023-04-27,2,32.59,Non-Compliant
DOC_120,Valid,High,49.03,1.0,2023-04-30,3,24.03,Non-Compliant
DOC_124,Valid,High,70.821,1.0,2023-05-04,3,45.821,Non-Compliant
DOC_126,Valid,Low,68.12,2.0,2023-05-06,1,43.120000000000005,Non-Compliant
DOC_128,Invalid,Medium,56.4,1.0,2023-05-08,2,36.4,Non-Compliant
DOC_129,Valid,Medium,43.38,0.0,2023-05-09,2,33.38,Non-Compliant
DOC_133,Valid,High,70.821,1.0,2023-05-13,3,45.821,Non-Compliant
DOC_134,Valid,High,73.33,1.0,2023-05-14,3,48.33,Non-Compliant
DOC_136,Valid,High,70.821,2.0,2023-05-16,3,35.821,Non-Compliant
DOC_138,Invalid,Low,54.84,2.0,2023-05-18,1,29.840000000000003,Non-Compliant
DOC_140,Unknown,High,47.75,0.0,2023-05-20,3,32.75,Non-Compliant
DOC_143,Valid,High,53.72,1.0,2023-05-23,3,28.72,Non-Compliant
DOC_146,Valid,Medium,61.49,2.0,2023-05-26,2,31.490000000000002,Non-Compliant
DOC_156,Valid,Medium,64.21,1.0,2023-06-05,2,44.209999999999994,Non-Compliant
DOC_157,Invalid,High,48.04,1.0,2023-06-06,3,23.04,Non-Compliant
DOC_158,Invalid,Medium,41.73,1.0,2023-06-07,2,21.729999999999997,Non-Compliant
DOC_162,Invalid,Medium,52.78,0.0,2023-06-11,2,42.78,Non-Compliant
DOC_163,Invalid,Medium,48.18,0.0,2023-06-12,2,38.18,Non-Compliant
DOC_164,Valid,Medium,40.87,1.0,2023-06-13,2,20.869999999999997,Non-Compliant
DOC_168,Valid,Unknown,66.25,2.0,2023-06-17,0,46.25,Non-Compliant
DOC_170,Valid,High,60.9,2.0,2023-06-19,3,25.9,Non-Compliant
DOC_172,Valid,High,70.821,2.0,2023-06-21,3,35.821,Non-Compliant
DOC_173,Valid,High,63.79,0.0,2023-06-22,3,48.79,Non-Compliant
DOC_177,Invalid,Low,48.82,0.0,2023-06-26,1,43.82,Non-Compliant
DOC_180,Valid,High,55.49,1.0,2023-06-29,3,30.490000000000002,Non-Compliant
DOC_181,Valid,High,67.55,1.0,2023-06-30,3,42.55,Non-Compliant
DOC_186,Invalid,Low,54.41,0.0,2023-07-05,1,49.41,Non-Compliant
DOC_187,Invalid,High,44.55,1.0,2023-07-06,3,19.549999999999997,Non-Compliant
DOC_188,Valid,High,47.73,0.0,2023-07-07,3,32.73,Non-Compliant
DOC_189,Valid,Low,47.68,0.0,2023-07-08,1,42.68,Non-Compliant
DOC_191,Valid,Unknown,48.33,0.0,2023-07-10,0,48.33,Non-Compliant
DOC_193,Unknown,Medium,50.91,1.0,2023-07-12,2,30.909999999999997,Non-Compliant
DOC_194,Invalid,Low,60.74,1.0,2023-07-13,1,45.74,Non-Compliant
DOC_198,Invalid,Medium,50.34,1.0,2023-07-17,2,30.340000000000003,Non-Compliant
DOC_199,Invalid,Low,51.54,1.0,2023-07-18,1,36.54,Non-Compliant
DOC_200,Invalid,Low,42.45,0.0,2023-07-19,1,37.45,Non-Compliant
